kind	frame	raw_tick	ly	line_tick	dot	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_lcdc	io_wx	pos	conflict	norm_dot
fetch	90	13295688	58	89	44.5	GET_TILE_T1	0	0							00	93	00	249		9223372036854775808.0
fetch	90	13295688	58	89	44.5	GET_TILE_DATA_LOWER_T1	2	0							00	93	00	251		9223372036854775808.0
fetch	90	13295696	58	97	48.5	GET_TILE_DATA_HIGH_T1	4	0							00	93	00	253		2.0
fetch	90	13295704	58	105	52.5	GET_TILE_T1	0	0							00	93	00	0		6.0
fetch	90	13295704	58	105	52.5	GET_TILE_DATA_LOWER_T1	2	0							00	93	00	0		6.0
fetch	90	13295708	58	109	54.5	GET_TILE_DATA_HIGH_T1	4	0							00	93	00	0		8.0
write	90	13295710	58	111	55.5				FF47	03					00	93	00		PALETTE_DMG	9.0
pixel	90	13295728	58	129	64.5		0	0			0	BG	FF47	03	00	93	00	0		18.0
pixel	90	13295728	58	129	64.5		0	0			1	OBJ0	FF48	00	00	93	00	0		18.0
pixel	90	13295728	58	129	64.5		1	1			0	BG	FF47	03	00	93	00	1		18.0
pixel	90	13295728	58	129	64.5		2	2			0	BG	FF47	03	00	93	00	2		18.0
pixel	90	13295728	58	129	64.5		2	2			1	OBJ0	FF48	00	00	93	00	2		18.0
pixel	90	13295728	58	129	64.5		3	3			0	BG	FF47	03	00	93	00	3		18.0
pixel	90	13295728	58	129	64.5		3	3			1	OBJ0	FF48	00	00	93	00	3		18.0
pixel	90	13295732	58	133	66.5		4	4			0	BG	FF47	03	00	93	00	4		20.0
pixel	90	13295732	58	133	66.5		4	4			1	OBJ0	FF48	00	00	93	00	4		20.0
pixel	90	13295732	58	133	66.5		5	5			0	BG	FF47	03	00	93	00	5		20.0
pixel	90	13295734	58	135	67.5		6	6			0	BG	FF47	03	00	93	00	6		21.0
write	90	13295734	58	135	67.5				FF47	01					00	93	00		PALETTE_DMG	21.0
pixel	90	13295744	58	145	72.5		7	7			0	BG	FF47	01	00	93	00	7		26.0
pixel	90	13295744	58	145	72.5		7	7			1	OBJ0	FF48	00	00	93	00	7		26.0
pixel	90	13295744	58	145	72.5		8	8			0	BG	FF47	01	00	93	00	8		26.0
fetch	90	13295744	58	145	72.5	GET_TILE_T1	0	9							00	93	00	9		26.0
pixel	90	13295744	58	145	72.5		9	9			0	BG	FF47	01	00	93	00	9		26.0
pixel	90	13295744	58	145	72.5		10	10			0	BG	FF47	01	00	93	00	10		26.0
fetch	90	13295744	58	145	72.5	GET_TILE_DATA_LOWER_T1	2	11							00	93	00	11		26.0
pixel	90	13295744	58	145	72.5		11	11			0	BG	FF47	01	00	93	00	11		26.0
pixel	90	13295752	58	153	76.5		12	12			0	BG	FF47	01	00	93	00	12		30.0
fetch	90	13295752	58	153	76.5	GET_TILE_DATA_HIGH_T1	4	13							00	93	00	13		30.0
pixel	90	13295752	58	153	76.5		13	13			0	BG	FF47	01	00	93	00	13		30.0
pixel	90	13295752	58	153	76.5		14	14			0	BG	FF47	01	00	93	00	14		30.0
pixel	90	13295752	58	153	76.5		15	15			0	BG	FF47	01	00	93	00	15		30.0
pixel	90	13295760	58	161	80.5		16	16			0	BG	FF47	01	00	93	00	16		34.0
fetch	90	13295760	58	161	80.5	GET_TILE_T1	0	17							00	93	00	17		34.0
pixel	90	13295760	58	161	80.5		17	17			0	BG	FF47	01	00	93	00	17		34.0
pixel	90	13295760	58	161	80.5		18	18			0	BG	FF47	01	00	93	00	18		34.0
fetch	90	13295760	58	161	80.5	GET_TILE_DATA_LOWER_T1	2	19							00	93	00	19		34.0
pixel	90	13295760	58	161	80.5		19	19			0	BG	FF47	01	00	93	00	19		34.0
pixel	90	13295768	58	169	84.5		20	20			0	BG	FF47	01	00	93	00	20		38.0
fetch	90	13295768	58	169	84.5	GET_TILE_DATA_HIGH_T1	4	21							00	93	00	21		38.0
pixel	90	13295768	58	169	84.5		21	21			0	BG	FF47	01	00	93	00	21		38.0
pixel	90	13295768	58	169	84.5		22	22			0	BG	FF47	01	00	93	00	22		38.0
pixel	90	13295768	58	169	84.5		23	23			0	BG	FF47	01	00	93	00	23		38.0
pixel	90	13295776	58	177	88.5		24	24			0	BG	FF47	01	00	93	00	24		42.0
fetch	90	13295776	58	177	88.5	GET_TILE_T1	0	25							00	93	00	25		42.0
pixel	90	13295776	58	177	88.5		25	25			0	BG	FF47	01	00	93	00	25		42.0
pixel	90	13295776	58	177	88.5		26	26			0	BG	FF47	01	00	93	00	26		42.0
fetch	90	13295776	58	177	88.5	GET_TILE_DATA_LOWER_T1	2	27							00	93	00	27		42.0
pixel	90	13295776	58	177	88.5		27	27			0	BG	FF47	01	00	93	00	27		42.0
pixel	90	13295784	58	185	92.5		28	28			0	BG	FF47	01	00	93	00	28		46.0
fetch	90	13295784	58	185	92.5	GET_TILE_DATA_HIGH_T1	4	29							00	93	00	29		46.0
pixel	90	13295784	58	185	92.5		29	29			0	BG	FF47	01	00	93	00	29		46.0
pixel	90	13295784	58	185	92.5		30	30			0	BG	FF47	01	00	93	00	30		46.0
pixel	90	13295784	58	185	92.5		31	31			0	BG	FF47	01	00	93	00	31		46.0
pixel	90	13295792	58	193	96.5		32	32			0	BG	FF47	01	00	93	00	32		50.0
fetch	90	13295792	58	193	96.5	GET_TILE_T1	0	33							00	93	00	33		50.0
pixel	90	13295792	58	193	96.5		33	33			0	BG	FF47	01	00	93	00	33		50.0
pixel	90	13295792	58	193	96.5		34	34			0	BG	FF47	01	00	93	00	34		50.0
fetch	90	13295792	58	193	96.5	GET_TILE_DATA_LOWER_T1	2	35							00	93	00	35		50.0
pixel	90	13295792	58	193	96.5		35	35			0	BG	FF47	01	00	93	00	35		50.0
pixel	90	13295800	58	201	100.5		36	36			0	BG	FF47	01	00	93	00	36		54.0
fetch	90	13295800	58	201	100.5	GET_TILE_DATA_HIGH_T1	4	37							00	93	00	37		54.0
pixel	90	13295800	58	201	100.5		37	37			0	BG	FF47	01	00	93	00	37		54.0
pixel	90	13295800	58	201	100.5		38	38			0	BG	FF47	01	00	93	00	38		54.0
pixel	90	13295800	58	201	100.5		39	39			0	BG	FF47	01	00	93	00	39		54.0
pixel	90	13295808	58	209	104.5		40	40			0	BG	FF47	01	00	93	00	40		58.0
fetch	90	13295808	58	209	104.5	GET_TILE_T1	0	41							00	93	00	41		58.0
pixel	90	13295808	58	209	104.5		41	41			0	BG	FF47	01	00	93	00	41		58.0
pixel	90	13295808	58	209	104.5		42	42			0	BG	FF47	01	00	93	00	42		58.0
fetch	90	13295808	58	209	104.5	GET_TILE_DATA_LOWER_T1	2	43							00	93	00	43		58.0
pixel	90	13295808	58	209	104.5		43	43			0	BG	FF47	01	00	93	00	43		58.0
pixel	90	13295812	58	213	106.5		44	44			0	BG	FF47	01	00	93	00	44		60.0
fetch	90	13295812	58	213	106.5	GET_TILE_DATA_HIGH_T1	4	45							00	93	00	45		60.0
pixel	90	13295812	58	213	106.5		45	45			0	BG	FF47	01	00	93	00	45		60.0
pixel	90	13295814	58	215	107.5		46	46			0	BG	FF47	03	00	93	00	46		61.0
write	90	13295814	58	215	107.5				FF47	03					00	93	00		PALETTE_DMG	61.0
pixel	90	13295824	58	225	112.5		47	47			0	BG	FF47	03	00	93	00	47		66.0
pixel	90	13295824	58	225	112.5		48	48			0	BG	FF47	03	00	93	00	48		66.0
fetch	90	13295824	58	225	112.5	GET_TILE_T1	0	49							00	93	00	49		66.0
pixel	90	13295824	58	225	112.5		49	49			0	BG	FF47	03	00	93	00	49		66.0
