kind	frame	raw_tick	ly	line_tick	dot	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_lcdc	io_wx	pos	conflict	norm_dot
fetch	80	12018262	2	89	44.5	GET_TILE_T1	0	0							00	93	00	240		9223372036854775808.0
fetch	80	12018272	2	99	49.5	GET_TILE_DATA_LOWER_T1	2	0							01	93	00	240		3.0
fetch	80	12018272	2	99	49.5	GET_TILE_DATA_HIGH_T1	4	0							01	93	00	240		3.0
write	80	12018294	2	121	60.5				FF42	03					03	93	00		READ_NEW	14.0
fetch	80	12018304	2	131	65.5	GET_TILE_T1	0	0							03	93	00	1		19.0
fetch	80	12018304	2	131	65.5	GET_TILE_DATA_LOWER_T1	2	0							03	93	00	3		19.0
fetch	80	12018310	2	137	68.5	GET_TILE_DATA_HIGH_T1	4	0							03	93	00	5		22.0
write	80	12018310	2	137	68.5				FF42	04					04	93	00		READ_NEW	22.0
fetch	80	12018320	2	147	73.5	GET_TILE_T1	0	0							04	93	00	9		27.0
fetch	80	12018320	2	147	73.5	GET_TILE_DATA_LOWER_T1	2	0							04	93	00	11		27.0
fetch	80	12018326	2	153	76.5	GET_TILE_DATA_HIGH_T1	4	0							04	93	00	13		30.0
write	80	12018326	2	153	76.5				FF42	03					03	93	00		READ_NEW	30.0
fetch	80	12018336	2	163	81.5	GET_TILE_T1	0	0							03	93	00	17		35.0
fetch	80	12018336	2	163	81.5	GET_TILE_DATA_LOWER_T1	2	0							03	93	00	19		35.0
fetch	80	12018342	2	169	84.5	GET_TILE_DATA_HIGH_T1	4	0							03	93	00	21		38.0
write	80	12018342	2	169	84.5				FF42	02					02	93	00		READ_NEW	38.0
fetch	80	12018352	2	179	89.5	GET_TILE_T1	0	0							02	93	00	25		43.0
fetch	80	12018352	2	179	89.5	GET_TILE_DATA_LOWER_T1	2	0							02	93	00	27		43.0
fetch	80	12018358	2	185	92.5	GET_TILE_DATA_HIGH_T1	4	0							02	93	00	29		46.0
write	80	12018358	2	185	92.5				FF42	01					01	93	00		READ_NEW	46.0
fetch	80	12018368	2	195	97.5	GET_TILE_T1	0	0							01	93	00	33		51.0
fetch	80	12018368	2	195	97.5	GET_TILE_DATA_LOWER_T1	2	0							01	93	00	35		51.0
fetch	80	12018374	2	201	100.5	GET_TILE_DATA_HIGH_T1	4	0							01	93	00	37		54.0
write	80	12018374	2	201	100.5				FF42	00					00	93	00		READ_NEW	54.0
fetch	80	12018384	2	211	105.5	GET_TILE_T1	0	0							00	93	00	41		59.0
fetch	80	12018384	2	211	105.5	GET_TILE_DATA_LOWER_T1	2	0							00	93	00	43		59.0
fetch	80	12018390	2	217	108.5	GET_TILE_DATA_HIGH_T1	4	0							00	93	00	45		62.0
write	80	12018390	2	217	108.5				FF42	01					01	93	00		READ_NEW	62.0
fetch	80	12018400	2	227	113.5	GET_TILE_T1	0	0							01	93	00	49		67.0
fetch	80	12018400	2	227	113.5	GET_TILE_DATA_LOWER_T1	2	0							01	93	00	51		67.0
fetch	80	12018406	2	233	116.5	GET_TILE_DATA_HIGH_T1	4	0							01	93	00	53		70.0
write	80	12018406	2	233	116.5				FF42	02					02	93	00		READ_NEW	70.0
fetch	80	12018416	2	243	121.5	GET_TILE_T1	0	0							02	93	00	57		75.0
fetch	80	12018416	2	243	121.5	GET_TILE_DATA_LOWER_T1	2	0							02	93	00	59		75.0
fetch	80	12018422	2	249	124.5	GET_TILE_DATA_HIGH_T1	4	0							02	93	00	61		78.0
write	80	12018422	2	249	124.5				FF42	03					03	93	00		READ_NEW	78.0
fetch	80	12018432	2	259	129.5	GET_TILE_T1	0	0							03	93	00	65		83.0
fetch	80	12018432	2	259	129.5	GET_TILE_DATA_LOWER_T1	2	0							03	93	00	67		83.0
fetch	80	12018438	2	265	132.5	GET_TILE_DATA_HIGH_T1	4	0							03	93	00	69		86.0
write	80	12018438	2	265	132.5				FF42	04					04	93	00		READ_NEW	86.0
fetch	80	12018448	2	275	137.5	GET_TILE_T1	0	0							04	93	00	73		91.0
fetch	80	12018448	2	275	137.5	GET_TILE_DATA_LOWER_T1	2	0							04	93	00	75		91.0
fetch	80	12018454	2	281	140.5	GET_TILE_DATA_HIGH_T1	4	0							04	93	00	77		94.0
write	80	12018454	2	281	140.5				FF42	03					03	93	00		READ_NEW	94.0
fetch	80	12018464	2	291	145.5	GET_TILE_T1	0	0							03	93	00	81		99.0
