schema	kind	frame	raw_tick	ly	line_tick	dot	event	mode	stat	stat_sources	if	ie	lyc	line_dot	lcd_on	irq_edge	model	double_speed	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_scx	io_lcdc	io_wx	io_wy	pos	conflict	write_visible_tick	write_visible_dot	state_block	vram_bank	state_len	state_data
2	ppu_public	90	14227752	0	257	128.5	stat_sample	0	8C	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14227752	0	257	128.5	stat_irq_edge	0	8C	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14228152	1	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14228152	1	2	1.0	mode2_irq_prepare	0	88	08	0B	02	00	1.0	1	0	2	0																						
2	ppu_public	90	14228160	1	0	0.0	stat_sample	2	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14228158	1	8	4.0	mode2_enter	2	8A	00	0B	02	00	4.0	1	0	2	0																						
2	ppu_public	90	14228160	1	0	0.0	stat_sample	3	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14228326	1	176	88.0	mode3_enter	3	8A	00	0B	02	00	88.0	1	0	2	0																						
2	ppu_public	90	14228320	1	84	42.0	stat_sample	3	8B	00	0B	02	00	42.0	1	0	2	0																						
2	ppu_public	90	14228670	1	520	260.0	mode0_enter	0	8B	08	0B	02	00	260.0	1	0	2	0																						
2	ppu_public	90	14228664	1	257	128.5	stat_sample	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14228664	1	257	128.5	stat_irq_edge	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14229064	2	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14229064	2	2	1.0	mode2_irq_prepare	0	88	08	0B	02	00	1.0	1	0	2	0																						
2	ppu_public	90	14229072	2	0	0.0	stat_sample	2	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14229070	2	8	4.0	mode2_enter	2	8A	00	0B	02	00	4.0	1	0	2	0																						
2	ppu_public	90	14229072	2	0	0.0	stat_sample	3	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14229238	2	176	88.0	mode3_enter	3	8A	00	0B	02	00	88.0	1	0	2	0																						
2	ppu_public	90	14229232	2	84	42.0	stat_sample	3	8B	00	0B	02	00	42.0	1	0	2	0																						
2	ppu_public	90	14229582	2	520	260.0	mode0_enter	0	8B	08	0B	02	00	260.0	1	0	2	0																						
2	ppu_public	90	14229576	2	257	128.5	stat_sample	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14229576	2	257	128.5	stat_irq_edge	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14229976	3	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14229976	3	2	1.0	mode2_irq_prepare	0	88	08	0B	02	00	1.0	1	0	2	0																						
2	ppu_public	90	14229984	3	0	0.0	stat_sample	2	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14229982	3	8	4.0	mode2_enter	2	8A	00	0B	02	00	4.0	1	0	2	0																						
2	ppu_public	90	14229984	3	0	0.0	stat_sample	3	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14230150	3	176	88.0	mode3_enter	3	8A	00	0B	02	00	88.0	1	0	2	0																						
2	ppu_public	90	14230144	3	84	42.0	stat_sample	3	8B	00	0B	02	00	42.0	1	0	2	0																						
2	ppu_public	90	14230494	3	520	260.0	mode0_enter	0	8B	08	0B	02	00	260.0	1	0	2	0																						
2	ppu_public	90	14230488	3	257	128.5	stat_sample	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14230488	3	257	128.5	stat_irq_edge	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14230888	4	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14230888	4	2	1.0	mode2_irq_prepare	0	88	08	0B	02	00	1.0	1	0	2	0																						
2	ppu_public	90	14230896	4	0	0.0	stat_sample	2	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14230894	4	8	4.0	mode2_enter	2	8A	00	0B	02	00	4.0	1	0	2	0																						
2	ppu_public	90	14230896	4	0	0.0	stat_sample	3	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14231062	4	176	88.0	mode3_enter	3	8A	00	0B	02	00	88.0	1	0	2	0																						
2	ppu_public	90	14231056	4	84	42.0	stat_sample	3	8B	00	0B	02	00	42.0	1	0	2	0																						
2	ppu_public	90	14231406	4	520	260.0	mode0_enter	0	8B	08	0B	02	00	260.0	1	0	2	0																						
2	ppu_public	90	14231400	4	257	128.5	stat_sample	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14231400	4	257	128.5	stat_irq_edge	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14231800	5	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14231800	5	2	1.0	mode2_irq_prepare	0	88	08	0B	02	00	1.0	1	0	2	0																						
2	ppu_public	90	14231808	5	0	0.0	stat_sample	2	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14231806	5	8	4.0	mode2_enter	2	8A	00	0B	02	00	4.0	1	0	2	0																						
2	ppu_public	90	14231808	5	0	0.0	stat_sample	3	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14231974	5	176	88.0	mode3_enter	3	8A	00	0B	02	00	88.0	1	0	2	0																						
2	ppu_public	90	14231968	5	84	42.0	stat_sample	3	8B	00	0B	02	00	42.0	1	0	2	0																						
2	ppu_public	90	14232318	5	520	260.0	mode0_enter	0	8B	08	0B	02	00	260.0	1	0	2	0																						
2	ppu_public	90	14232312	5	257	128.5	stat_sample	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14232312	5	257	128.5	stat_irq_edge	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14232712	6	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14232712	6	2	1.0	mode2_irq_prepare	0	88	08	0B	02	00	1.0	1	0	2	0																						
2	ppu_public	90	14232720	6	0	0.0	stat_sample	2	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14232718	6	8	4.0	mode2_enter	2	8A	00	0B	02	00	4.0	1	0	2	0																						
2	ppu_public	90	14232720	6	0	0.0	stat_sample	3	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14232886	6	176	88.0	mode3_enter	3	8A	00	0B	02	00	88.0	1	0	2	0																						
2	ppu_public	90	14232880	6	84	42.0	stat_sample	3	8B	00	0B	02	00	42.0	1	0	2	0																						
2	ppu_public	90	14233230	6	520	260.0	mode0_enter	0	8B	08	0B	02	00	260.0	1	0	2	0																						
2	ppu_public	90	14233224	6	257	128.5	stat_sample	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14233224	6	257	128.5	stat_irq_edge	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14233624	7	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14233624	7	2	1.0	mode2_irq_prepare	0	88	08	0B	02	00	1.0	1	0	2	0																						
2	ppu_public	90	14233632	7	0	0.0	stat_sample	2	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14233630	7	8	4.0	mode2_enter	2	8A	00	0B	02	00	4.0	1	0	2	0																						
2	ppu_public	90	14233632	7	0	0.0	stat_sample	3	8A	00	0B	02	00	0.0	1	0	2	0																						
2	ppu_public	90	14233798	7	176	88.0	mode3_enter	3	8A	00	0B	02	00	88.0	1	0	2	0																						
2	ppu_public	90	14233792	7	84	42.0	stat_sample	3	8B	00	0B	02	00	42.0	1	0	2	0																						
2	ppu_public	90	14234142	7	520	260.0	mode0_enter	0	8B	08	0B	02	00	260.0	1	0	2	0																						
2	ppu_public	90	14234136	7	257	128.5	stat_sample	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14234136	7	257	128.5	stat_irq_edge	0	88	08	0B	02	00	128.5	1	1	2	0																						
2	ppu_public	90	14234536	8	0	0.0	stat_sample	2	88	00	0B	02	00	0.0	1	0	2	0																						
