schema	kind	frame	raw_tick	ly	line_tick	dot	event	mode	stat	stat_sources	if	ie	lyc	line_dot	lcd_on	irq_edge	model	double_speed	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_scx	io_lcdc	io_wx	io_wy	pos	conflict	write_visible_tick	write_visible_dot	state_block	vram_bank	state_len	state_data
2	cpu	90	13893432	0	99	49.5	write	3	03		E1	00	01	48.0	1		2	0				FF89	FF					00	00	81	00	00		READ_OLD	13893432	48.0				
2	ppu_public	90	13893760	0	259	129.5	stat_sample	0	00	00	E1	00	01	129.5	1	0	2	0																						
2	cpu	90	13893776	0	275	137.5	write	0	00		E1	00	01	0.0	1		2	0				FF8A	00					00	00	81	00	00		READ_OLD	13893776	0.0				
2	ppu_public	90	13894160	1	0	0.0	stat_sample	2	00	00	E1	00	01	0.0	1	0	2	0																						
2	ppu_public	90	13894160	1	2	1.0	mode2_irq_prepare	0	00	00	E1	00	01	1.0	1	0	2	0																						
2	ppu_public	90	13894168	1	0	0.0	stat_sample	2	06	00	E1	00	01	0.0	1	0	2	0																						
2	ppu_public	90	13894166	1	8	4.0	mode2_enter	2	06	00	E1	00	01	4.0	1	0	2	0																						
2	ppu_public	90	13894168	1	0	0.0	stat_sample	3	06	00	E1	00	01	0.0	1	0	2	0																						
2	ppu_public	90	13894334	1	176	88.0	mode3_enter	3	06	00	E1	00	01	88.0	1	0	2	0																						
2	cpu	90	13894176	1	18	9.0	write	3	06		E1	00	01	9.0	1		2	0				FF8B	FF					00	00	81	00	00		READ_OLD	13894176	9.0				
2	ppu_public	90	13894328	1	84	42.0	stat_sample	3	07	00	E1	00	01	42.0	1	0	2	0																						
2	ppu_public	90	13894678	1	520	260.0	mode0_enter	0	07	00	E1	00	01	260.0	1	0	2	0																						
2	cpu	90	13894336	1	89	44.5	write	3	07		E1	00	01	89.0	1		2	0				FF8C	FF					00	00	81	00	00		READ_OLD	13894336	89.0				
2	ppu_public	90	13894672	1	257	128.5	stat_sample	0	04	00	E1	00	01	128.5	1	0	2	0																						
2	cpu	90	13894688	1	273	136.5	write	0	04		E1	00	01	265.0	1		2	0				FF8D	00					00	00	81	00	00		READ_OLD	13894688	265.0				
2	ppu_public	90	13895072	2	0	0.0	stat_sample	2	00	00	E1	00	01	0.0	1	0	2	0																						
2	ppu_public	90	13895072	2	2	1.0	mode2_irq_prepare	0	00	00	E1	00	01	1.0	1	0	2	0																						
