schema	kind	frame	raw_tick	ly	line_tick	dot	event	mode	stat	stat_sources	if	ie	lyc	line_dot	lcd_on	irq_edge	model	double_speed	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_scx	io_lcdc	io_wx	io_wy	pos	conflict	write_visible_tick	write_visible_dot	state_block	vram_bank	state_len	state_data
2	ppu_public	90	13984328	0	259	129.5	stat_sample	0	04	00	E1	00	00	129.5	1	0	2	0																						
2	ppu_public	90	13984728	1	0	0.0	stat_sample	2	00	00	E1	00	00	0.0	1	0	2	0																						
2	ppu_public	90	13984728	1	2	1.0	mode2_irq_prepare	0	00	00	E1	00	00	1.0	1	0	2	0																						
2	ppu_public	90	13984736	1	0	0.0	stat_sample	2	02	00	E1	00	00	0.0	1	0	2	0																						
2	ppu_public	90	13984734	1	8	4.0	mode2_enter	2	02	00	E1	00	00	4.0	1	0	2	0																						
2	ppu_public	90	13984736	1	0	0.0	stat_sample	3	02	00	E1	00	00	0.0	1	0	2	0																						
2	ppu_public	90	13984902	1	176	88.0	mode3_enter	3	02	00	E1	00	00	88.0	1	0	2	0																						
2	ppu_public	90	13984896	1	84	42.0	stat_sample	3	03	00	E1	00	00	42.0	1	0	2	0																						
2	ppu_public	90	13985246	1	520	260.0	mode0_enter	0	03	00	E1	00	00	260.0	1	0	2	0																						
2	cpu	90	13984896	1	170	85.0	write	3	03		E1	00	00	85.0	1		2	0				FE00	81					00	00	81	00	00		READ_OLD	13984896	85.0				
2	cpu	90	13984968	1	153	76.5	write	3	03		E1	00	00	121.0	1		2	0				DFF5	49					00	00	81	00	00		READ_OLD	13984968	121.0				
2	cpu	90	13984976	1	161	80.5	write	3	03		E1	00	00	125.0	1		2	0				DFF4	C1					00	00	81	00	00		READ_OLD	13984976	125.0				
2	cpu	90	13985064	1	249	124.5	write	3	03		E1	00	00	169.0	1		2	0				DFF3	FE					00	00	81	00	00		READ_OLD	13985064	169.0				
2	cpu	90	13985072	1	257	128.5	write	3	03		E1	00	00	173.0	1		2	0				DFF2	00					00	00	81	00	00		READ_OLD	13985072	173.0				
