schema	kind	frame	raw_tick	ly	line_tick	dot	event	mode	stat	stat_sources	if	ie	lyc	line_dot	lcd_on	irq_edge	model	double_speed	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_scx	io_lcdc	io_wx	io_wy	pos	conflict	write_visible_tick	write_visible_dot	state_block	vram_bank	state_len	state_data
2	initial_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0				FF40	93																	
2	initial_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0				FF41	A3																	
2	initial_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0				FF42	01																	
2	initial_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0				FF43	00																	
2	initial_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0				FF45	00																	
2	vram_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0																			registers_lcdc_scx_scy_wx_wy		5	9300010096
2	vram_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0																			oam		160	10000000180100002002000028030000300400003805000040060000480700005008000058090000600A0000680B0000700C0000780D0000800E0000880F00009010000098110000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
2	vram_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0																			vram	0	8192	000000000000000000000000000000003C3C7E66FFC3FF81FFE73C243C243C3C3C3C3C243C24FFE7FF81FFC37E663C3C1C1C1E16FFF3FF81FF81FFF31E161C1C38387868FFCFFF81FF81FFCF7868383800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006C6C8A8AACACAAAA6C6C000000000000606080808080808060600000000000004A4AAAAAAEAEAEAE4A4A0000000000008A8A8A8A8E8E8282E2E2000000000000353545452525151567670000000000006666555566664444444400000000000026265555565655552525000000000000737324242222212126260000000000000303040402020101060600000000000025255555757555555252000000000000707040406060404070700000000000003737424222221212626200000000000027275252727252525252000000000000737344446262414176760000000000000000000000000000000000003C3C3C243C243C243C3C3C243C3C0000FEFEFE92FE92FE92FEFE0000000000007E7EFFCBFF81FFCBFF81FFCB7E7E0000FFE7FF81FFA7FF81FFE5FF81FFE70000FFFFFF99FF93FFE7FFC9FF99FFFF00007C7CFEC6FF93FFC5FF93FFC97F7F00003C3C3C243C243C243C3C0000000000003C3C7C647C4C78487C4C7C643C3C000078787C4C7C643C247C647C4C78780000FEFEFEAAFEC6FE82FEC6FEAAFEFE00003C3C3C24FFE7FF81FFE73C243C3C00000000000000003C3C7C647C4C78780000000000007E7E7E427E7E000000000000000000000000787878487848787800001E1E3E327E62FEC6FC8CF898F0F000007E7EFFC3FF91FF89FF99FFC37E7E00007C7C7C447C643C243C243C243C3C00007E7EFFC3FF91FFF3FFE7FF81FFFF00007E7EFFC3FF99FFF1FF99FFC37E7E0000FEFEFE92FE92FE82FEF21E121E1E0000FEFEFE82FE9EFF83FFF9FF83FEFE00007E7EFEC2FE9EFF83FF99FFC37E7E0000FFFFFF81FFF90F090F090F090F0F00007E7EFFC3FF99FFC3FF99FFC37E7E00007F7FFFC1FF99FFC17F790F090F0F00003C3C3C243C243C3C3C243C243C3C00003C3C3C243C243C3C7C647C4C787800001F1F7F71FFC7FC9CFFC77F711F1F00000000FFFFFF81FFFFFF81FFFF00000000F8F8FE8EFFE33F39FFE3FE8EF8F800007E7EFFC3FF99FFF97F633E3E3C243C3C7E7EFFC3FF99FF93FF9FFFC17F7F00003C3C7E667E42FFDBFF81FF99FFFF0000FEFEFF83FF99FF83FF99FF83FEFE00007E7EFFC3FF99FF9FFF99FFC37E7E0000FEFEFF83FF99FF99FF99FF83FEFE0000FFFFFF81FF9FFE82FF9FFF81FFFF0000FFFFFF81FF9FFE82FE9EF090F0F000007E7EFEC2FF9FFF91FF99FFC17F7F0000FFFFFF99FF99FF81FF99FF99FFFF00007E7E7E427E663C247E667E427E7E0000FFFFFF81FFE73C24FCE4FC84FCFC0000FFFFFF99FF93FE86FF93FF99FFFF0000F0F0F090F090F090FF9FFF81FFFF0000F7F7FF9DFF89FF95FF95FF95FFFF0000FFFFFF99FF89FF81FF91FF99FFFF00007E7EFFC3FF99FF99FF99FFC37E7E0000FEFEFF83FF99FF83FE9EF090F0F000007E7EFFC3FF99FF99FF91FFC37E7E0000FEFEFF83FF99FF83FF97FF99FFFF00007F7FFFC1FF9FFFC3FFF9FF83FEFE0000FFFFFF81FFE73C243C243C243C3C0000FFFFFF99FF99FF99FF99FFC37E7E0000FFFFFF99FF99FFC37E427E663C3C0000FFFFFF9DFF9DFF95FF95FFC37E7E0000FFFFFF99FFC37E66FFC3FF99EFEF0000FFFFFF99FF99FFC37E663C243C3C0000FFFFFF81FFF37E66FFCFFF81FFFF00007E7E7E427E721E127E727E427E7E0000F0F0F898FC8CFEC67E623E321E1E00007E7E7E427E4E78487E4E7E427E7E00003C3C7E66FFC3FF99FFFF0000000000000000000000000000FFFFFF81FFFF000078787C4C7C447C643C3C0000000000003C3C7E667E42FFDBFF81FF99FFFF0000FEFEFF83FF99FF83FF99FF83FEFE00007E7EFFC3FF99FF9FFF99FFC37E7E0000FEFEFF83FF99FF99FF99FF83FEFE0000FFFFFF81FF9FFE82FF9FFF81FFFF0000FFFFFF81FF9FFE82FE9EF090F0F000007E7EFEC2FF9FFF91FF99FFC17F7F0000FFFFFF99FF99FF81FF99FF99FFFF00007E7E7E427E663C247E667E427E7E0000FFFFFF81FFE73C24FCE4FC84FCFC0000FFFFFF99FF93FE86FF93FF99FFFF0000F0F0F090F090F090FF9FFF81FFFF0000F7F7FF9DFF89FF95FF95FF95FFFF0000FFFFFF99FF89FF81FF91FF99FFFF00007E7EFFC3FF99FF99FF99FFC37E7E0000FEFEFF83FF99FF83FE9EF090F0F000007E7EFFC3FF99FF99FF91FFC37E7E0000FEFEFF83FF99FF83FF97FF99FFFF00007F7FFFC1FF9FFFC3FFF9FF83FEFE0000FFFFFF81FFE73C243C243C243C3C0000FFFFFF99FF99FF99FF99FFC37E7E0000FFFFFF99FF99FFC37E427E663C3C0000FFFFFF9DFF9DFF95FF95FFC37E7E0000FFFFFF99FFC37E66FFC3FF99EFEF0000FFFFFF99FF99FFC37E663C243C3C0000FFFFFF81FFF37E66FFCFFF81FFFF00007C7C7E467F731F197F737E467C7C00003C3C3C243C243C243C243C243C3C00003E3E7E62FECEF898FECE7E623E3E00007F7FFFC9FF93FEFE000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004142434445464748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6042434445464748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061434445464748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061624445464748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061626345464748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061626364464748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061626364654748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061626364656648494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061626364656667494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F6061626364656667684A4B4C4D4E4F505152535455565758595A5B5C5D5E5F606162636465666768694B4C4D4E4F505152535455565758595A5B5C5D5E5F606162636465666768696A4C4D4E4F505152535455565758595A5B5C5D5E5F606162636465666768696A6B4D4E4F505152535455565758595A5B5C5D5E5F606162636465666768696A6B6C4E4F505152535455565758595A5B5C5D5E5F606162636465666768696A6B6C6D4F505152535455565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E505152535455565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F5152535455565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7052535455565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071535455565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071725455565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071727355565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071727374565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071727374755758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071727374757658595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071727374757677595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F7071727374757677785A5B5C5D5E5F606162636465666768696A6B6C6D6E6F707172737475767778795B5C5D5E5F606162636465666768696A6B6C6D6E6F707172737475767778797A5C5D5E5F606162636465666768696A6B6C6D6E6F707172737475767778797A7B5D5E5F606162636465666768696A6B6C6D6E6F707172737475767778797A7B7C5E5F606162636465666768696A6B6C6D6E6F707172737475767778797A7B7C7D5F606162636465666768696A6B6C6D6E6F707172737475767778797A7B7C7D7E606162636465666768696A6B6C6D6E6F707172737475767778797A7B7C7D7E7F00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	vram_state	80	12144118	140	89	44.5		3	A3		00	03	00	44.5	1		2	0																			vram	1	8192	303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030300A32097672616D5F7374617465093830093132313434313138093134300938390934342E35090933094133090930300930330930300934342E3509310909320930090909090909090909090909090909090909097672616D093109383139320933303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303330333033303333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000C345060000000000C353060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000C35001CEED6666CC0D000B03730083000C000D0008111F8889000EDCCC6EE6DDDDD999BBBB67636E0EECCCDDDC999FBBB9333E00000000000000000000000000000000000000000000000000E786DEF331FEFFAFEA00C0CD1348CD07483E20E0413E03E0FFCD384821009806410E2078223C0D20FB04CB5428F3217C060E48CD2E483E93E0403EE4E0472142FF010201FB000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000C39201FA00C03CFE0AC24F0640EA00C0D9F044A720000000AF777071727372717077707172737271707770717273727170D1119201D5110403D910000000180100002002000028030000300400003805000040060000480700005008000058090000600A0000680B0000700C0000780D0000800E0000880F00009010000098110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	ppu_internal	80	12144118	140	89	44.5	fetch	3	A3		00	03	00	44.5	1		2	0	GET_TILE_T1	0	0	1A20	52					00	00	93	00	96	249							
